"Date","Price","Open","High","Low","Vol","Change %"
"01/24/2024","34,000.0","33,800.0","34,250.0","33,700.0","7.63M","0.59%"
"01/23/2024","33,800.0","34,000.0","34,100.0","33,650.0","12.56M","-0.44%"
"01/22/2024","33,950.0","33,900.0","34,000.0","33,400.0","16.81M","0.74%"
"01/19/2024","33,700.0","34,000.0","34,100.0","33,400.0","22.39M","-0.30%"
"01/18/2024","33,800.0","33,800.0","34,050.0","33,650.0","14.74M","0.45%"
"01/17/2024","33,650.0","33,500.0","34,500.0","33,450.0","26.22M","0.45%"
"01/16/2024","33,500.0","33,000.0","33,500.0","32,750.0","19.32M","1.52%"
"01/15/2024","33,000.0","34,000.0","34,100.0","33,000.0","22.25M","-2.51%"
"01/12/2024","33,850.0","33,600.0","34,000.0","33,350.0","25.26M","-0.15%"
"01/11/2024","33,900.0","33,750.0","34,400.0","33,600.0","25.47M","0.59%"
"01/10/2024","33,700.0","33,950.0","34,050.0","33,350.0","23.83M","-0.88%"
"01/09/2024","34,000.0","34,200.0","34,350.0","33,900.0","18.99M","-0.29%"
"01/08/2024","34,100.0","34,450.0","34,500.0","34,000.0","20.73M","-0.15%"
"01/05/2024","34,150.0","33,800.0","34,150.0","33,600.0","25.14M","1.64%"
"01/04/2024","33,600.0","33,000.0","34,200.0","33,000.0","58.71M","1.97%"
"01/03/2024","32,950.0","32,350.0","32,950.0","32,300.0","11.41M","1.38%"
"01/02/2024","32,500.0","33,000.0","33,200.0","32,500.0","18.05M","-0.91%"
"12/29/2023","32,800.0","32,950.0","33,100.0","32,750.0","12.79M","-0.61%"
"12/28/2023","33,000.0","32,850.0","33,150.0","32,650.0","10.90M","0.61%"
"12/27/2023","32,800.0","32,950.0","33,150.0","32,800.0","16.10M","0.15%"
"12/26/2023","32,750.0","32,600.0","32,900.0","32,500.0","14.01M","0.61%"
"12/25/2023","32,550.0","32,350.0","32,750.0","32,100.0","13.95M","0.62%"
"12/22/2023","32,350.0","32,350.0","32,950.0","32,200.0","17.46M","0.47%"
"12/21/2023","32,200.0","32,050.0","32,300.0","32,000.0","8.08M","-0.31%"
"12/20/2023","32,300.0","32,150.0","32,600.0","31,950.0","13.51M","0.47%"
"12/19/2023","32,150.0","31,750.0","32,150.0","31,350.0","15.69M","1.42%"
"12/18/2023","31,700.0","31,850.0","32,150.0","31,650.0","11.32M","-0.31%"
"12/15/2023","31,800.0","32,100.0","32,500.0","31,700.0","19.87M","-0.63%"
"12/14/2023","32,000.0","32,500.0","32,500.0","31,900.0","15.66M","0.00%"
"12/13/2023","32,000.0","32,900.0","32,950.0","32,000.0","21.55M","-1.84%"
"12/12/2023","32,600.0","32,800.0","33,000.0","32,500.0","12.45M","-0.31%"
"12/11/2023","32,700.0","32,600.0","33,050.0","32,100.0","20.00M","0.31%"
"12/08/2023","32,600.0","32,700.0","33,000.0","32,300.0","18.08M","-0.76%"
"12/07/2023","32,850.0","33,600.0","33,700.0","32,050.0","44.21M","-2.23%"
"12/06/2023","33,600.0","33,350.0","33,850.0","33,250.0","17.90M","0.90%"
"12/05/2023","33,300.0","33,650.0","33,700.0","33,150.0","23.48M","-0.89%"
"12/04/2023","33,600.0","32,900.0","34,000.0","32,550.0","45.28M","5.00%"
"12/01/2023","32,000.0","31,700.0","32,250.0","31,250.0","20.04M","2.24%"
"11/30/2023","31,300.0","31,600.0","32,150.0","31,300.0","16.68M","-0.95%"
"11/29/2023","31,600.0","31,500.0","31,950.0","31,300.0","12.22M","0.64%"
"11/28/2023","31,400.0","31,000.0","31,500.0","30,200.0","21.40M","1.29%"
"11/27/2023","31,000.0","31,950.0","32,000.0","31,000.0","15.10M","-3.13%"
"11/24/2023","32,000.0","31,250.0","32,000.0","30,700.0","24.68M","3.56%"
"11/23/2023","30,900.0","33,200.0","33,200.0","30,900.0","27.08M","-6.08%"
"11/22/2023","32,900.0","32,500.0","32,950.0","32,300.0","22.92M","1.08%"
"11/21/2023","32,550.0","32,800.0","32,800.0","32,300.0","17.29M","0.46%"
"11/20/2023","32,400.0","30,700.0","32,700.0","30,650.0","26.50M","2.86%"
"11/17/2023","31,500.0","32,350.0","32,600.0","31,100.0","29.29M","-2.48%"
"11/16/2023","32,300.0","31,900.0","32,300.0","31,350.0","19.05M","1.10%"
"11/15/2023","31,950.0","32,800.0","32,800.0","31,900.0","26.91M","0.63%"
"11/14/2023","31,750.0","31,950.0","32,200.0","31,350.0","23.24M","0.95%"
"11/13/2023","31,450.0","31,000.0","31,600.0","30,800.0","20.86M","2.11%"
"11/10/2023","30,800.0","30,600.0","31,900.0","30,550.0","32.34M","-0.16%"
"11/09/2023","30,850.0","30,650.0","31,600.0","30,550.0","33.98M","1.82%"
"11/08/2023","30,300.0","28,350.0","30,300.0","28,300.0","31.63M","6.88%"
"11/07/2023","28,350.0","28,900.0","29,300.0","28,300.0","18.33M","-2.24%"
"11/06/2023","29,000.0","29,150.0","29,300.0","28,800.0","17.86M","0.35%"
"11/03/2023","28,900.0","29,000.0","29,050.0","28,300.0","25.38M","0.00%"
"11/02/2023","28,900.0","27,600.0","29,000.0","27,500.0","27.48M","6.45%"
"11/01/2023","27,150.0","25,750.0","27,150.0","25,750.0","30.98M","5.44%"
"10/31/2023","25,750.0","27,550.0","27,900.0","25,650.0","36.44M","-6.36%"
"10/30/2023","27,500.0","29,000.0","29,350.0","27,500.0","16.79M","-6.62%"
"10/27/2023","29,450.0","29,250.0","29,800.0","28,750.0","20.05M","2.61%"
"10/26/2023","28,700.0","29,700.0","29,950.0","28,650.0","54.16M","-6.82%"
